from_x,from_y,to_x,to_y,param1,param2,param3
-47,15,-47,16,58,174,4
-38,24,-47,16,48,104,4
-9,33,-47,16,16,0,4
-3,32,-47,16,16,0,4
3,30,-47,16,16,0,4
9,27,-47,16,16,0,4
15,23,-47,16,16,0,4
21,18,-47,16,16,0,4
26,13,-47,16,16,0,4
30,9,-47,16,8,0,4
33,5,-47,16,16,0,4
35,2,-47,16,8,0,4
36,-1,-47,16,16,0,4
36,-4,-47,16,16,0,4
35,-7,-47,16,16,0,4
33,-10,-47,16,16,0,4
30,-13,-47,16,16,0,4
26,-16,-47,16,16,0,4
21,-19,-47,16,16,0,4
15,-22,-47,16,16,0,4
9,-24,-47,16,16,0,4
3,-25,-47,16,16,0,4
-3,-25,-47,16,16,0,4
-8,-23,-47,16,58,136,4
-24,-7,-47,16,58,152,4
-22,13,-47,16,12,4,4
-19,18,-47,16,16,15,4
-15,23,-47,16,16,0,4
-11,27,-47,16,16,0,4
-7,30,-47,16,16,0,4
-3,32,-47,16,16,0,4
1,33,-47,16,16,0,4
5,33,-47,16,16,0,4
9,32,-47,16,16,0,4
13,30,-47,16,16,0,4
17,27,-47,16,16,0,4
21,23,-47,16,16,0,4
25,18,-47,16,16,0,4
28,13,-47,16,16,0,4
30,8,-47,16,16,0,4
31,3,-47,16,16,0,4
31,-2,-47,16,16,0,4
30,-7,-47,16,16,0,4
28,-12,-47,16,16,0,4
25,-17,-47,16,16,0,4
21,-22,-47,16,16,0,4
17,-26,-47,16,16,0,4
13,-29,-47,16,16,0,4
9,-31,-47,16,16,0,4
5,-32,-47,16,16,0,4
0,-31,-47,16,58,128,4
-20,-17,-47,16,14,0,4
-24,-12,-47,16,16,4,4
-27,-7,-47,16,16,14,4
-30,-1,-47,16,58,158,4
-34,16,-47,16,54,150,4
-31,31,-47,16,48,111,4
-22,40,-47,16,48,109,4
-4,37,-47,16,16,0,4
-1,34,-47,16,16,0,4
2,31,-47,16,8,0,4
5,27,-47,16,16,0,4
9,23,-47,16,8,0,4
13,18,-47,16,16,0,4
17,13,-47,16,8,0,4
20,9,-47,16,8,0,4
22,5,-47,16,16,0,4
23,1,-47,16,16,0,4
23,-3,-47,16,16,0,4
22,-7,-47,16,16,0,4
20,-11,-47,16,16,0,4
17,-15,-47,16,16,0,4
13,-19,-47,16,16,0,4
9,-22,-47,16,16,0,4
5,-24,-47,16,16,0,4
1,-25,-47,16,16,0,4
-3,-25,-47,16,16,0,4
-8,-23,-47,16,58,136,4
-24,-7,-47,16,58,152,4
-22,13,-47,16,12,4,4
-19,18,-47,16,16,15,4
-15,23,-47,16,16,0,4
-11,27,-47,16,16,0,4
-7,30,-47,16,16,0,4
-3,32,-47,16,16,0,4
1,33,-47,16,16,0,4
5,33,-47,16,16,0,4
9,32,-47,16,16,0,4
13,30,-47,16,16,0,4
17,27,-47,16,16,0,4
21,23,-47,16,16,0,4
25,18,-47,16,16,0,4
28,13,-47,16,16,0,4
30,8,-47,16,16,0,4
31,3,-47,16,16,0,4
31,-2,-47,16,16,0,4
30,-7,-47,16,16,0,4
28,-12,-47,16,16,0,4
25,-17,-47,16,16,0,4
21,-22,-47,16,16,0,4
17,-26,-47,16,16,0,4
13,-29,-47,16,16,0,4
9,-31,-47,16,16,0,4
5,-32,-47,16,16,0,4
0,-31,-47,16,58,128,4
-20,-17,-47,16,14,0,4
-24,-12,-47,16,16,4,4
-27,-7,-47,16,16,14,4
-30,-1,-47,16,58,158,4
-34,16,-47,16,54,150,4
